n,k,risk,CG23,U
1.270000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.763160811438154174e-02,1.338842421991309484e-01
1.280000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.711892037660605048e-02,1.338842421991309484e-01
1.290000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.661394472167692093e-02,1.338842421991309484e-01
1.300000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.611650849026680377e-02,1.169016246912600171e-01
1.310000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.562644413724932901e-02,1.169016246912600171e-01
1.320000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.514358904379845272e-02,1.169016246912600171e-01
1.330000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.466778533770932424e-02,1.169016246912600171e-01
1.340000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.419887972152328592e-02,1.169016246912600171e-01
1.350000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.373672330806565145e-02,1.169016246912600171e-01
1.360000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.328117146302515705e-02,1.169016246912600171e-01
1.370000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.283208365422614239e-02,1.169016246912600171e-01
1.380000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.238932330726434244e-02,1.169016246912600171e-01
1.390000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.195275766719474803e-02,1.169016246912600171e-01
1.400000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.152225766597771428e-02,1.169016246912600171e-01
1.410000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.109769779540569212e-02,1.169016246912600171e-01
1.420000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.067895598524836870e-02,1.169016246912600171e-01
1.430000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.026591348636728407e-02,1.169016246912600171e-01
1.440000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.985845475856600706e-02,1.169016246912600171e-01
1.450000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.945646736295297219e-02,1.169016246912600171e-01
1.460000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.905984185860686797e-02,1.169016246912600171e-01
1.470000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.866847170334525685e-02,1.169016246912600171e-01
1.480000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.828225315840749460e-02,1.169016246912600171e-01
1.490000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.790108519687360566e-02,1.169016246912600171e-01
1.500000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.752486941564844553e-02,1.169016246912600171e-01
1.510000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.715350995085124314e-02,1.018627654365166918e-01
