replicate,method,n,k,risk,nominal_cost,anytime_U
31,Per_time,466,2,0.006722349990846289,1.5483674458608343,0.03895234603569855
31,GCC_T1,190,2,0.00912747286258778,1.6070640285571731,0.08884340963149352
31,GCC_T4,162,2,0.00912747286258778,1.6070640285571731,0.10186276543651669
31,Fixed_N,93,2,0.039101145939893875,1.3201272344701183,0.174982676092472
31,Posthoc,629,2,0.006123239224921095,1.5321637281360139,0.02959763815910193
32,Anytime,271,1,0.0013509237647159784,1.4302477458280782,0.04878717610342121
32,Per_time,402,1,0.0013509237647159784,1.4302477458280782,0.035075444436606075
32,GCC_T1,190,2,0.004200603133484398,1.620942582339556,0.08884340963149352
32,GCC_T4,162,2,0.004200603133484398,1.620942582339556,0.10186276543651669
32,Fixed_N,93,2,0.004200603133484398,1.620942582339556,0.174982676092472
32,Posthoc,271,1,0.0013509237647159784,1.4302477458280782,0.04878717610342121
33,Anytime,362,2,0.0013914034803527364,1.5865700585555922,0.04470779190771206
33,Per_time,466,2,0.0013914034803527364,1.5865700585555922,0.03895234603569855
33,GCC_T1,190,2,0.005392238851101406,1.8270459739180032,0.08884340963149352
33,GCC_T4,162,2,0.006158892023675366,1.6082642250967885,0.10186276543651669
33,Fixed_N,93,1,0.017310317281217836,1.435781545078834,0.15392988417795642
33,Posthoc,362,2,0.0013914034803527364,1.5865700585555922,0.04470779190771206
34,Anytime,362,2,0.002060832813524931,1.602321222099829,0.04470779190771206
34,Per_time,466,2,0.002060832813524931,1.602321222099829,0.03895234603569855
34,GCC_T1,190,2,0.0032648139475614257,1.6824228760609201,0.08884340963149352
34,GCC_T4,132,1,0.002913613226313903,1.6416096933772273,0.11122389675566964
34,Fixed_N,93,2,0.035209474719822095,2.0353614550617767,0.174982676092472
34,Posthoc,362,2,0.002060832813524931,1.602321222099829,0.04470779190771206
35,Anytime,362,2,0.00528326152258679,1.7687571514723237,0.04470779190771206
35,Per_time,466,2,0.00528326152258679,1.7687571514723237,0.03895234603569855
35,GCC_T1,190,2,0.00528326152258679,1.7687571514723237,0.08884340963149352
35,GCC_T4,162,2,0.00528326152258679,1.7687571514723237,0.10186276543651669
35,Fixed_N,93,2,0.015496218322842826,2.1156262640748,0.174982676092472
35,Posthoc,362,2,0.00528326152258679,1.7687571514723237,0.04470779190771206
36,Anytime,362,2,0.0014571051806473428,1.5162629244287242,0.04470779190771206
36,Per_time,466,2,0.0014571051806473428,1.5162629244287242,0.03895234603569855
36,GCC_T1,190,2,0.009553102432712837,1.8081708110771555,0.08884340963149352
36,GCC_T4,162,2,0.009740434025004354,1.475517464960959,0.10186276543651669
36,Fixed_N,93,2,0.026298004841344088,1.6349997199308948,0.174982676092472
36,Posthoc,362,2,0.0014571051806473428,1.5162629244287242,0.04470779190771206
37,Anytime,362,2,0.0015765961307437587,1.6365636685052185,0.04470779190771206
37,Per_time,466,2,0.0015765961307437587,1.6365636685052185,0.03895234603569855
37,GCC_T1,190,2,0.0062990855407129,1.8391519884822405,0.08884340963149352
37,GCC_T4,162,2,0.0062990855407129,1.8391519884822405,0.10186276543651669
37,Fixed_N,93,2,0.010550305907998957,1.9808593836745514,0.174982676092472
37,Posthoc,362,2,0.0015765961307437587,1.6365636685052185,0.04470779190771206
38,Anytime,362,2,0.0066161777912958864,1.3900377140528044,0.04470779190771206
38,Per_time,466,2,0.0066161777912958864,1.3900377140528044,0.03895234603569855
38,GCC_T1,146,1,0.011029522717449771,1.5024734849829597,0.09435851123028417
38,GCC_T4,132,1,0.011029522717449771,1.5024734849829597,0.11122389675566964
38,Fixed_N,93,1,0.011029522717449771,1.5024734849829597,0.15392988417795642
38,Posthoc,362,2,0.0066161777912958864,1.3900377140528044,0.04470779190771206
39,Anytime,271,1,0.0017838829116316442,1.4392569847709398,0.04878717610342121
39,Per_time,402,1,0.0017838829116316442,1.4392569847709398,0.035075444436606075
39,GCC_T1,146,1,0.0017838829116316442,1.4392569847709398,0.09435851123028417
39,GCC_T4,132,1,0.0017838829116316442,1.4392569847709398,0.11122389675566964
39,Fixed_N,93,1,0.0017838829116316442,1.4392569847709398,0.15392988417795642
39,Posthoc,271,1,0.0017838829116316442,1.4392569847709398,0.04878717610342121
40,Anytime,362,2,0.001857243249176679,1.7323265496054876,0.04470779190771206
40,Per_time,466,2,0.001857243249176679,1.7323265496054876,0.03895234603569855
40,GCC_T1,190,2,0.012517715430431899,1.4773050652555313,0.08884340963149352
40,GCC_T4,162,2,0.018934297946266426,1.3833401522901791,0.10186276543651669
40,Fixed_N,93,2,0.027858399200515267,1.3062998810047497,0.174982676092472
40,Posthoc,362,2,0.001857243249176679,1.7323265496054876,0.04470779190771206
41,Anytime,362,2,0.005216286448253346,1.5486267567361618,0.04470779190771206
41,Per_time,466,2,0.005000081411645211,1.5674016587857362,0.03895234603569855
41,GCC_T1,190,2,0.005216286448253346,1.5486267567361618,0.08884340963149352
41,GCC_T4,162,2,0.005216286448253346,1.5486267567361618,0.10186276543651669
41,Fixed_N,93,2,0.005216286448253346,1.5486267567361618,0.174982676092472
41,Posthoc,516,2,0.0046605930743823425,1.536300641321142,0.033967598945458415
42,Anytime,362,2,0.0025188828464786615,1.5733824867292796,0.04470779190771206
42,Per_time,466,2,0.0025188828464786615,1.5733824867292796,0.03895234603569855
42,GCC_T1,190,2,0.009516087856194401,1.414624031240709,0.08884340963149352
42,GCC_T4,162,2,0.009516087856194401,1.414624031240709,0.10186276543651669
42,Fixed_N,93,2,0.04705734514205794,2.126351621716389,0.174982676092472
42,Posthoc,362,2,0.0025188828464786615,1.5733824867292796,0.04470779190771206
43,Anytime,362,2,0.004091991688310038,1.4796968979526501,0.04470779190771206
43,Per_time,466,2,0.0040404796332754785,1.4818037979101117,0.03895234603569855
43,GCC_T1,190,2,0.010562714218841592,1.3452914702236367,0.08884340963149352
43,GCC_T4,162,2,0.010562714218841592,1.3452914702236367,0.10186276543651669
43,Fixed_N,93,2,0.016088216885926224,1.2902170233030792,0.174982676092472
