n,k_hull,risk_hull,U_hull,U_per_time,k_box,risk_box,U_box,finite_hull,finite_box
4607.0,24.0,0.005722602821582878,0.014783254532328547,0.01731726398585182,4.0,0.00041583969524316977,0.005012056226844762,0.012808426202266356,0.005386462035504745
4608.0,24.0,0.005722602821582878,0.014783254532328547,0.017313661518572124,4.0,0.00041583969524316977,0.005012056226844762,0.012805657334731798,0.005385295852222913
4609.0,24.0,0.005722602821582878,0.014783254532328547,0.017310060511697065,4.0,0.00041583969524316977,0.005012056226844762,0.012802889664049322,0.005384130173794232
4610.0,24.0,0.005722602821582878,0.014783254532328547,0.017306461350722616,4.0,0.00041583969524316977,0.005012056226844762,0.012800123189443083,0.005382964999890938
4611.0,24.0,0.005722602821582878,0.014783254532328547,0.017302863826667892,4.0,0.00041583969524316977,0.005012056226844762,0.012797357910137922,0.005381800330185549
4612.0,24.0,0.005722602821582878,0.014783254532328547,0.01729926723804457,4.0,0.00041583969524316977,0.005012056226844762,0.012794593825359335,0.005380636164350878
4613.0,24.0,0.005722602821582878,0.014783254532328547,0.017295672491946967,4.0,0.00041583969524316977,0.005012056226844762,0.012791830934333474,0.005379472502060005
4614.0,24.0,0.005722602821582878,0.014783254532328547,0.017292079586832692,4.0,0.00041583969524316977,0.005012056226844762,0.01278906923628721,0.005378309342986298
4615.0,24.0,0.005722602821582878,0.014783254532328547,0.017288487722349772,4.0,0.00041583969524316977,0.005012056226844762,0.012786308730448023,0.005377146686803418
4616.0,24.0,0.005722602821582878,0.014783254532328547,0.017284897382920328,4.0,0.00041583969524316977,0.005012056226844762,0.012783549416044098,0.005375984533185291
4617.0,24.0,0.005722602821582878,0.014783254532328547,0.017281308881111235,4.0,0.00041583969524316977,0.005012056226844762,0.012780791292304267,0.0053748228818061424
4618.0,24.0,0.005722602821582878,0.014783254532328547,0.017277721938056385,4.0,0.00041583969524316977,0.005012056226844762,0.012778034358458043,0.005373661732340458
4619.0,24.0,0.005722602821582878,0.014783254532328547,0.01727413599710706,4.0,0.00041583969524316977,0.005012056226844762,0.012775278613735576,0.005372501084463028
4620.0,24.0,0.005722602821582878,0.014783254532328547,0.0172705518904231,4.0,0.00041583969524316977,0.005012056226844762,0.012772524057367696,0.005371340937848908
4621.0,24.0,0.005722602821582878,0.014783254532328547,0.01726696961647166,4.0,0.00041583969524316977,0.005012056226844762,0.012769770688585935,0.005370181292173438
4622.0,24.0,0.005722602821582878,0.014783254532328547,0.017263388308040323,4.0,0.00041583969524316977,0.005012056226844762,0.012767018506622417,0.005369022147112239
4623.0,24.0,0.005722602821582878,0.014783254532328547,0.017259808588322302,4.0,0.00041583969524316977,0.005012056226844762,0.012764267510709972,0.005367863502341215
