n,k,risk,U,CG23,gain1,gain2
8.300000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,7.926993032847699794e-02,1.838531109499405292e-01,1.013203147745789928e-01
8.400000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,7.836396377479355746e-02,1.838531109499405292e-01,1.013203147745789928e-01
8.500000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,7.747846240995497069e-02,1.838531109499405292e-01,1.013203147745789928e-01
8.600000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,7.661274084918918981e-02,1.838531109499405292e-01,1.013203147745789928e-01
8.700000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,7.576614396070859014e-02,1.838531109499405292e-01,1.013203147745789928e-01
8.800000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,7.493804521549375652e-02,1.838531109499405292e-01,1.013203147745789928e-01
8.900000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,7.412784514388758017e-02,1.838531109499405292e-01,1.013203147745789928e-01
9.000000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,7.333496989100844743e-02,1.838531109499405292e-01,1.013203147745789928e-01
9.100000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,7.255886986368950686e-02,1.838531109499405292e-01,1.013203147745789928e-01
9.200000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,7.179901846224849560e-02,1.838531109499405292e-01,1.013203147745789928e-01
9.300000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,7.105491089095856971e-02,1.838531109499405292e-01,1.013203147745789928e-01
9.400000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,7.032606304157125454e-02,1.838531109499405292e-01,1.013203147745789928e-01
9.500000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.961201044472309363e-02,1.838531109499405292e-01,1.013203147745789928e-01
9.600000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.891230728445511822e-02,1.838531109499405292e-01,1.013203147745789928e-01
9.700000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.822652547145856283e-02,1.838531109499405292e-01,1.013203147745789928e-01
9.800000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.755425377101421935e-02,1.838531109499405292e-01,1.013203147745789928e-01
9.900000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.689509698188543518e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.000000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.624867516273701129e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.010000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.561462290289318822e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.020000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.499258863451003176e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.030000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.438223398343480286e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.040000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.378323315624329082e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.050000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.319527236112056079e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.060000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.261804926043788855e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.070000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.205127245300284117e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.080000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.149466098413990112e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.090000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.094794388186013795e-02,1.838531109499405292e-01,1.013203147745789928e-01
