n,k,U,objective,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17
3.300000000000000000e+01,1.000000000000000000e+00,3.739718416015198055e-01,4.161439406679869890e+00,4.882346739056637325e-02,4.675027170378138683e-03,-2.186927345769080766e-01,-2.016995982757790795e+00,2.148072321630626474e-02,-1.610869749618303315e-01,-4.171017593898412867e-02,-1.585609191323360534e+00,-5.349592190888216026e-01,-1.753084834080068377e-01,-2.080164280475634175e+00,-2.030760827502580967e-01,-3.825468084128754165e-01,-5.975379484830202204e-01,-1.620845007689127870e+00,-2.854246886706182651e-02,-2.144254496621638417e-01,-2.090340887583845841e+00
3.400000000000000000e+01,1.000000000000000000e+00,3.739718416015198055e-01,4.161439406679869890e+00,4.882346739056637325e-02,4.675027170378138683e-03,-2.186927345769080766e-01,-2.016995982757790795e+00,2.148072321630626474e-02,-1.610869749618303315e-01,-4.171017593898412867e-02,-1.585609191323360534e+00,-5.349592190888216026e-01,-1.753084834080068377e-01,-2.080164280475634175e+00,-2.030760827502580967e-01,-3.825468084128754165e-01,-5.975379484830202204e-01,-1.620845007689127870e+00,-2.854246886706182651e-02,-2.144254496621638417e-01,-2.090340887583845841e+00
3.500000000000000000e+01,1.000000000000000000e+00,3.739718416015198055e-01,4.161439406679869890e+00,4.882346739056637325e-02,4.675027170378138683e-03,-2.186927345769080766e-01,-2.016995982757790795e+00,2.148072321630626474e-02,-1.610869749618303315e-01,-4.171017593898412867e-02,-1.585609191323360534e+00,-5.349592190888216026e-01,-1.753084834080068377e-01,-2.080164280475634175e+00,-2.030760827502580967e-01,-3.825468084128754165e-01,-5.975379484830202204e-01,-1.620845007689127870e+00,-2.854246886706182651e-02,-2.144254496621638417e-01,-2.090340887583845841e+00
3.600000000000000000e+01,1.000000000000000000e+00,3.739718416015198055e-01,4.161439406679869890e+00,4.882346739056637325e-02,4.675027170378138683e-03,-2.186927345769080766e-01,-2.016995982757790795e+00,2.148072321630626474e-02,-1.610869749618303315e-01,-4.171017593898412867e-02,-1.585609191323360534e+00,-5.349592190888216026e-01,-1.753084834080068377e-01,-2.080164280475634175e+00,-2.030760827502580967e-01,-3.825468084128754165e-01,-5.975379484830202204e-01,-1.620845007689127870e+00,-2.854246886706182651e-02,-2.144254496621638417e-01,-2.090340887583845841e+00
3.700000000000000000e+01,1.000000000000000000e+00,3.269505519567654228e-01,4.161439406679869890e+00,4.882346739056637325e-02,4.675027170378138683e-03,-2.186927345769080766e-01,-2.016995982757790795e+00,2.148072321630626474e-02,-1.610869749618303315e-01,-4.171017593898412867e-02,-1.585609191323360534e+00,-5.349592190888216026e-01,-1.753084834080068377e-01,-2.080164280475634175e+00,-2.030760827502580967e-01,-3.825468084128754165e-01,-5.975379484830202204e-01,-1.620845007689127870e+00,-2.854246886706182651e-02,-2.144254496621638417e-01,-2.090340887583845841e+00
3.800000000000000000e+01,1.000000000000000000e+00,3.269505519567654228e-01,4.161439406679869890e+00,4.882346739056637325e-02,4.675027170378138683e-03,-2.186927345769080766e-01,-2.016995982757790795e+00,2.148072321630626474e-02,-1.610869749618303315e-01,-4.171017593898412867e-02,-1.585609191323360534e+00,-5.349592190888216026e-01,-1.753084834080068377e-01,-2.080164280475634175e+00,-2.030760827502580967e-01,-3.825468084128754165e-01,-5.975379484830202204e-01,-1.620845007689127870e+00,-2.854246886706182651e-02,-2.144254496621638417e-01,-2.090340887583845841e+00
3.900000000000000000e+01,1.000000000000000000e+00,3.269505519567654228e-01,4.223900028683334362e+00,2.716456513126302985e-02,2.365944091647651654e-02,-2.494575069591594974e-01,-2.039903288398857484e+00,1.797399565512006192e-02,-1.522357595201971614e-01,-4.161063280877876080e-02,-1.578703354353590438e+00,-5.455371420421902817e-01,-1.792114393615529266e-01,-2.080672890725358659e+00,-2.022978910465872138e-01,-3.929983492441597726e-01,-6.035036108460246629e-01,-1.612503833447032076e+00,-3.092628693100514525e-02,-2.149825823257277002e-01,-2.087841014856393063e+00
4.000000000000000000e+01,1.000000000000000000e+00,3.269505519567654228e-01,4.223900028683334362e+00,2.716456513126302985e-02,2.365944091647651654e-02,-2.494575069591594974e-01,-2.039903288398857484e+00,1.797399565512006192e-02,-1.522357595201971614e-01,-4.161063280877876080e-02,-1.578703354353590438e+00,-5.455371420421902817e-01,-1.792114393615529266e-01,-2.080672890725358659e+00,-2.022978910465872138e-01,-3.929983492441597726e-01,-6.035036108460246629e-01,-1.612503833447032076e+00,-3.092628693100514525e-02,-2.149825823257277002e-01,-2.087841014856393063e+00
4.100000000000000000e+01,1.000000000000000000e+00,3.269505519567654228e-01,4.223900028683334362e+00,2.716456513126302985e-02,2.365944091647651654e-02,-2.494575069591594974e-01,-2.039903288398857484e+00,1.797399565512006192e-02,-1.522357595201971614e-01,-4.161063280877876080e-02,-1.578703354353590438e+00,-5.455371420421902817e-01,-1.792114393615529266e-01,-2.080672890725358659e+00,-2.022978910465872138e-01,-3.929983492441597726e-01,-6.035036108460246629e-01,-1.612503833447032076e+00,-3.092628693100514525e-02,-2.149825823257277002e-01,-2.087841014856393063e+00
4.200000000000000000e+01,1.000000000000000000e+00,3.269505519567654228e-01,4.223900028683334362e+00,2.716456513126302985e-02,2.365944091647651654e-02,-2.494575069591594974e-01,-2.039903288398857484e+00,1.797399565512006192e-02,-1.522357595201971614e-01,-4.161063280877876080e-02,-1.578703354353590438e+00,-5.455371420421902817e-01,-1.792114393615529266e-01,-2.080672890725358659e+00,-2.022978910465872138e-01,-3.929983492441597726e-01,-6.035036108460246629e-01,-1.612503833447032076e+00,-3.092628693100514525e-02,-2.149825823257277002e-01,-2.087841014856393063e+00
