n,k_hull,risk_hull,U_hull,U_per_time,k_box,risk_box,U_box
7.666000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.037932996103816015e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.667000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.037802861244831350e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.668000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.037672761286580203e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.669000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.037542701137460742e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.670000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.037412676138304776e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.671000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.037282671716705483e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.672000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.037152707060842206e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.673000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.037022782150928517e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.674000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.036892882790773317e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.675000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.036763013521707806e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.676000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.036633183955281735e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.677000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.036503394071744584e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.678000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.036373620168360050e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.679000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.036243885839192684e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.680000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.036114191149688050e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.681000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.035984526649645805e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.682000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.035854887451666782e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.683000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.035725287850195776e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.684000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.035595727825550268e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.685000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.035466188442279827e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.686000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.035336683822993438e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.687000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.035207218737471506e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.688000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.035077788461132714e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.689000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.034948378718347599e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.690000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.034819008466316727e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.691000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.034689677685443447e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.692000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.034560372187092771e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.693000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.034431096663091486e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.694000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.034301860567321367e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.695000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.034172663880228611e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
