n,k,risk,U_anytime,U_per_time,L1,L2
1.930000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.075586060977453406e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.940000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.070864217899764881e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.950000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.066187894487240356e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.960000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.061556409964893449e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.970000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.056969097355892340e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.980000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.052424150736661346e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.990000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.047898228873217624e-01,1.658906822103888845e-01,1.470373061124380099e-01
2.000000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.043415054710884610e-01,1.658906822103888845e-01,1.470373061124380099e-01
2.010000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.038974001817627724e-01,1.658906822103888845e-01,1.470373061124380099e-01
2.020000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,1.034574456202989601e-01,1.658906822103888845e-01,1.470373061124380099e-01
2.030000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,1.030215816006504886e-01,1.658906822103888845e-01,1.470373061124380099e-01
2.040000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,1.025897491195589123e-01,1.658906822103888845e-01,1.470373061124380099e-01
2.050000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,1.021618903272431267e-01,1.658906822103888845e-01,1.470373061124380099e-01
2.060000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,1.017379484989690830e-01,1.658906822103888845e-01,1.470373061124380099e-01
2.070000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,1.013178680074632437e-01,1.658906822103888845e-01,1.470373061124380099e-01
2.080000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,1.009015942961370566e-01,1.658906822103888845e-01,1.470373061124380099e-01
2.090000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,1.004890738531055289e-01,1.658906822103888845e-01,1.470373061124380099e-01
2.100000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,1.000802541859604350e-01,1.658906822103888845e-01,1.470373061124380099e-01
2.110000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.967338235669082058e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.120000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.926972683532948871e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.130000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.886965956302458391e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.140000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.847313105673112521e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.150000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.808009275829240869e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.160000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.769049701264284624e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.170000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.730429704662908741e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.180000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.692144694842604047e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.190000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.654190164754157533e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.200000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.616561689536422264e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.210000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.579254924627546297e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.220000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.542265603926620987e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.230000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.505499330930891611e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.240000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.468953629834961361e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.250000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.432716205617093508e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.260000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.396783024558298669e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.270000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.361150124478721801e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.280000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.325813613137977354e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.290000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.290769666677861638e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.300000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.256014528107749106e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.310000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.221544505829194771e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.320000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.187355972201154131e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.330000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,7.770811534823952871e-02,9.153445362142241526e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.340000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,6.767339651962583913e-02,9.119809171770223988e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.350000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,6.767339651962583913e-02,9.086422993489946809e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.360000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,6.767339651962583913e-02,9.053170769302405774e-02,1.658906822103888845e-01,1.470373061124380099e-01
